subid,quizA.1,quizA.2,quizA.3,quizA.4,quizA.5,quizA.6,quizA.7,score,quizB.1,quizB.2,quizB.3,quizB.4,quizB.5,quizB.6,quizB.7,quizB.8,quizB.9,quizB.10,quizB.11
12-001,A,B,C,D,B,A,B,5,A,B,B,D,A,A,B,B,A,A,A
12-002,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,B,B,A
12-003,A,B,B,B,B,A,B,5,A,B,B,D,A,A,B,B,A,A,A
12-004,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-005,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-006,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-007,A,B,B,D,B,A,B,6,A,B,B,D,A,A,B,C,B,A,A
12-008,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-009,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-010,A,B,B,C,A,A,B,6,A,B,B,D,A,A,B,B,A,A,A
12-011,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-012,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,B,B,A
12-013,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-014,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,B,A,A
12-015,A,B,B,D,B,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-016,A,B,B,D,B,A,B,7,A,B,B,D,A,A,B,C,B,A,A
12-017,A,B,B,D,B,A,B,6,A,B,B,D,A,A,B,C,A,A,A
12-018,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-019,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-020,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-021,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,A,A,A,A
12-022,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-023,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-024,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,A,A,A,A
12-025,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,B
12-026,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,B,A,A
12-027,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-028,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,B,B
12-029,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,B,B,A
12-031,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,A,B,A,A
12-032,A,B,B,D,A,A,B,7,A,B,B,C,A,A,B,C,A,A,A
12-033,A,B,B,D,D,A,B,6,A,B,B,D,A,A,B,C,A,A,A
12-034,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-035,A,B,B,D,A,A,B,7,A,B,B,C,A,A,B,B,A,A,A
12-036,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-037,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-038,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-039,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,B,A,A
12-040,A,B,B,B,D,A,B,5,A,B,B,D,A,A,B,B,A,A,A
12-041,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-042,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-043,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,B,A,A
12-044,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-045,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-046,A,B,A,D,A,A,B,6,A,B,B,D,A,A,B,C,A,A,B
12-047,A,B,B,C,B,A,B,5,A,B,B,D,A,A,B,B,A,A,A
12-048,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-049,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-050,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-051,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,B
12-053,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,B,A,C
12-054,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-055,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,C,A,A,A
12-057,A,B,B,D,B,A,B,6,A,B,B,D,A,A,B,B,A,A,A
12-058,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
12-059,A,B,B,B,A,A,B,7,A,B,B,D,A,A,B,A,A,A,A
12-060,A,B,B,C,A,A,B,6,A,B,B,D,A,A,B,A,A,A,A
12-061,A,B,B,C,A,A,B,6,A,B,B,D,A,A,B,B,B,A,A
12-062,A,B,B,C,A,A,B,6,A,B,B,B,A,A,B,C,A,A,A
12-063,A,B,B,D,A,A,B,7,A,B,B,D,A,A,B,B,A,A,A
