id,aic,model
1,126.2569858,Hybrid-rpe
2,245.6259027,Hybrid-rpe
3,228.5729782,Hybrid-rpe
4,243.0358478,Hybrid-rpe
5,243.8266732,Hybrid-rpe
6,194.4074989,Hybrid-rpe
7,178.7323437,Hybrid-rpe
8,249.4306319,Hybrid-rpe
9,141.0730819,Hybrid-rpe
10,253.2920283,Hybrid-rpe
11,123.2870723,Hybrid-rpe
12,253.7975259,Hybrid-rpe
13,274.5375409,Hybrid-rpe
14,253.4701601,Hybrid-rpe
15,166.9961057,Hybrid-rpe
16,109.0938359,Hybrid-rpe
17,209.972408,Hybrid-rpe
18,264.8719175,Hybrid-rpe
19,255.9259249,Hybrid-rpe
20,181.9552555,Hybrid-rpe
21,203.8058719,Hybrid-rpe
22,242.9534686,Hybrid-rpe
23,212.0881491,Hybrid-rpe
24,163.1927219,Hybrid-rpe
25,209.3433666,Hybrid-rpe
26,244.8832281,Hybrid-rpe
27,202.406743,Hybrid-rpe
28,210.9008652,Hybrid-rpe
29,246.1383133,Hybrid-rpe
30,191.8400085,Hybrid-rpe
31,187.1565162,Hybrid-rpe
32,234.594899,Hybrid-rpe
33,169.9470156,Hybrid-rpe
34,168.5910238,Hybrid-rpe
35,253.6630878,Hybrid-rpe
36,123.7023504,Hybrid-rpe
37,152.2988629,Hybrid-rpe
38,217.9677915,Hybrid-rpe
39,236.5605835,Hybrid-rpe
40,268.9863018,Hybrid-rpe
41,129.634161,Hybrid-rpe
42,246.2139233,Hybrid-rpe
43,199.0171289,Hybrid-rpe
44,165.9039842,Hybrid-rpe
45,233.6775074,Hybrid-rpe
46,201.6987751,Hybrid-rpe
47,210.1711373,Hybrid-rpe
48,217.9351071,Hybrid-rpe
49,211.4898389,Hybrid-rpe
50,243.1586665,Hybrid-rpe
51,170.607559,Hybrid-rpe
52,214.7996311,Hybrid-rpe
53,235.5622396,Hybrid-rpe
54,194.4395614,Hybrid-rpe
55,213.3234004,Hybrid-rpe
56,255.0823934,Hybrid-rpe
57,257.2161796,Hybrid-rpe
58,242.1804122,Hybrid-rpe
59,243.1562138,Hybrid-rpe
60,190.040499,Hybrid-rpe
61,248.8264233,Hybrid-rpe
62,154.3039404,Hybrid-rpe
63,206.9009559,Hybrid-rpe
64,54.58939565,Hybrid-rpe
65,178.7432259,Hybrid-rpe
66,144.4687669,Hybrid-rpe
67,272.42334,Hybrid-rpe
68,179.5259926,Hybrid-rpe
69,185.4505901,Hybrid-rpe
70,255.3110619,Hybrid-rpe
71,235.3188399,Hybrid-rpe
72,196.0572795,Hybrid-rpe
73,250.7649488,Hybrid-rpe
74,261.6097569,Hybrid-rpe
75,246.8850228,Hybrid-rpe
76,265.322049,Hybrid-rpe
77,168.2619218,Hybrid-rpe
78,233.4403962,Hybrid-rpe
79,168.1232786,Hybrid-rpe
80,253.3520762,Hybrid-rpe
81,179.643956,Hybrid-rpe
82,280.6208236,Hybrid-rpe
83,197.732277,Hybrid-rpe
84,213.7665349,Hybrid-rpe
85,195.3976911,Hybrid-rpe
86,268.2569496,Hybrid-rpe
87,217.2719504,Hybrid-rpe
88,216.2709544,Hybrid-rpe
89,147.3602346,Hybrid-rpe
90,203.6146343,Hybrid-rpe
91,100.027185,Hybrid-rpe
92,191.466725,Hybrid-rpe
93,256.3745144,Hybrid-rpe
94,271.6917044,Hybrid-rpe
95,131.3607261,Hybrid-rpe
96,261.745466,Hybrid-rpe
