id,aic,model
1,484.0344628,Hybrid-rpe
2,383.0963387,Hybrid-rpe
3,287.9893087,Hybrid-rpe
4,411.9688784,Hybrid-rpe
5,451.510938,Hybrid-rpe
6,331.8064451,Hybrid-rpe
7,448.7834076,Hybrid-rpe
8,331.249721,Hybrid-rpe
9,294.2607182,Hybrid-rpe
10,313.4818878,Hybrid-rpe
11,234.5726175,Hybrid-rpe
12,356.1031106,Hybrid-rpe
13,274.8149879,Hybrid-rpe
14,237.7283885,Hybrid-rpe
15,367.9693038,Hybrid-rpe
16,297.5965902,Hybrid-rpe
17,272.9146143,Hybrid-rpe
18,324.4612951,Hybrid-rpe
19,204.9185686,Hybrid-rpe
20,309.0878628,Hybrid-rpe
21,411.2569445,Hybrid-rpe
22,325.0899355,Hybrid-rpe
23,355.599083,Hybrid-rpe
24,307.762489,Hybrid-rpe
25,388.7604392,Hybrid-rpe
26,317.6499903,Hybrid-rpe
27,455.2969274,Hybrid-rpe
28,430.3916619,Hybrid-rpe
29,293.1027884,Hybrid-rpe
30,379.086668,Hybrid-rpe
31,306.7335906,Hybrid-rpe
32,406.8235844,Hybrid-rpe
33,400.6077112,Hybrid-rpe
34,389.1592958,Hybrid-rpe
35,459.6340217,Hybrid-rpe
36,469.0144176,Hybrid-rpe
37,329.763569,Hybrid-rpe
38,478.9878993,Hybrid-rpe
39,333.6807848,Hybrid-rpe
40,309.495329,Hybrid-rpe
41,330.1937584,Hybrid-rpe
42,376.0911471,Hybrid-rpe
43,338.0585891,Hybrid-rpe
44,390.580873,Hybrid-rpe
45,426.4270054,Hybrid-rpe
46,388.1198741,Hybrid-rpe
47,412.5993776,Hybrid-rpe
48,318.1451574,Hybrid-rpe
49,474.4235777,Hybrid-rpe
50,362.3296437,Hybrid-rpe
51,464.1705581,Hybrid-rpe
52,471.8013373,Hybrid-rpe
53,196.11165,Hybrid-rpe
54,435.0830347,Hybrid-rpe
55,471.7101526,Hybrid-rpe
56,410.1125924,Hybrid-rpe
57,402.4998568,Hybrid-rpe
58,321.2403468,Hybrid-rpe
59,252.7065212,Hybrid-rpe
60,269.9651899,Hybrid-rpe
61,239.2266828,Hybrid-rpe
62,249.8788327,Hybrid-rpe
63,279.1098905,Hybrid-rpe
64,358.1102549,Hybrid-rpe
65,305.7916715,Hybrid-rpe
66,445.6347862,Hybrid-rpe
67,322.1577853,Hybrid-rpe
68,380.9138144,Hybrid-rpe
69,370.9971072,Hybrid-rpe
70,382.3915783,Hybrid-rpe
71,298.9157508,Hybrid-rpe
72,455.244114,Hybrid-rpe
73,283.1295237,Hybrid-rpe
74,434.1591575,Hybrid-rpe
75,399.939533,Hybrid-rpe
76,387.7406049,Hybrid-rpe
77,423.4265471,Hybrid-rpe
78,360.8119424,Hybrid-rpe
79,371.507711,Hybrid-rpe
80,464.7746381,Hybrid-rpe
81,315.3873888,Hybrid-rpe
82,393.3642891,Hybrid-rpe
83,286.5966487,Hybrid-rpe
84,474.5680487,Hybrid-rpe
85,433.9659203,Hybrid-rpe
86,440.0105166,Hybrid-rpe
