id,aic,model
1,339.0756619,Hybrid-rpe
2,567.2514472,Hybrid-rpe
3,401.0365126,Hybrid-rpe
4,388.5430142,Hybrid-rpe
5,431.4617879,Hybrid-rpe
6,362.2313493,Hybrid-rpe
7,385.6199953,Hybrid-rpe
8,422.0685464,Hybrid-rpe
9,541.9631088,Hybrid-rpe
10,392.2356762,Hybrid-rpe
11,262.9983741,Hybrid-rpe
12,407.6476099,Hybrid-rpe
13,517.6969937,Hybrid-rpe
14,462.7076228,Hybrid-rpe
15,550.0178545,Hybrid-rpe
16,416.6743173,Hybrid-rpe
17,494.8243983,Hybrid-rpe
18,509.5179243,Hybrid-rpe
19,472.0173246,Hybrid-rpe
20,382.1745813,Hybrid-rpe
21,364.2223806,Hybrid-rpe
22,470.0914996,Hybrid-rpe
23,367.1192254,Hybrid-rpe
24,261.7416645,Hybrid-rpe
1,306.3329849,Hybrid-wm
2,569.9246342,Hybrid-wm
3,394.5100997,Hybrid-wm
4,389.9401051,Hybrid-wm
5,397.7585113,Hybrid-wm
6,355.8867537,Hybrid-wm
7,373.6808734,Hybrid-wm
8,408.3642568,Hybrid-wm
9,542.332815,Hybrid-wm
10,349.0969455,Hybrid-wm
11,219.6215036,Hybrid-wm
12,381.0100157,Hybrid-wm
13,501.3200007,Hybrid-wm
14,461.8836359,Hybrid-wm
15,545.2064975,Hybrid-wm
16,375.8143991,Hybrid-wm
17,489.4863819,Hybrid-wm
18,506.69478,Hybrid-wm
19,475.5413442,Hybrid-wm
20,370.0402557,Hybrid-wm
21,326.5203747,Hybrid-wm
22,441.1457017,Hybrid-wm
23,351.6165265,Hybrid-wm
24,262.6820238,Hybrid-wm
1,339.2943494,Hybrid-lwm
2,567.9466013,Hybrid-lwm
3,391.5269211,Hybrid-lwm
4,386.910199,Hybrid-lwm
5,430.453943,Hybrid-lwm
6,363.4567109,Hybrid-lwm
7,387.829404,Hybrid-lwm
8,421.6681486,Hybrid-lwm
9,539.5964511,Hybrid-lwm
10,393.2978326,Hybrid-lwm
11,259.249021,Hybrid-lwm
12,407.278349,Hybrid-lwm
13,517.268515,Hybrid-lwm
14,463.7837969,Hybrid-lwm
15,548.1190238,Hybrid-lwm
16,414.3625134,Hybrid-lwm
17,492.020962,Hybrid-lwm
18,509.353002,Hybrid-lwm
19,473.6897913,Hybrid-lwm
20,381.7073032,Hybrid-lwm
21,355.6725272,Hybrid-lwm
22,469.8093032,Hybrid-lwm
23,366.6127681,Hybrid-lwm
24,257.3303961,Hybrid-lwm
