id,aic,model
1,626.4644161,Hybrid-rpe
2,686.6580045,Hybrid-rpe
3,538.5050597,Hybrid-rpe
4,597.016428,Hybrid-rpe
5,572.5042231,Hybrid-rpe
6,697.1909608,Hybrid-rpe
7,585.6618906,Hybrid-rpe
8,598.1710587,Hybrid-rpe
9,630.3753945,Hybrid-rpe
10,621.0029829,Hybrid-rpe
11,642.3320569,Hybrid-rpe
12,595.2445857,Hybrid-rpe
13,544.2504512,Hybrid-rpe
14,623.963675,Hybrid-rpe
15,650.824183,Hybrid-rpe
16,607.1922555,Hybrid-rpe
17,615.051489,Hybrid-rpe
18,572.0027952,Hybrid-rpe
19,614.7275222,Hybrid-rpe
20,610.4415184,Hybrid-rpe
21,661.8456342,Hybrid-rpe
1,616.3247809,Hybrid-wm
2,680.2746196,Hybrid-wm
3,532.7442846,Hybrid-wm
4,595.7188015,Hybrid-wm
5,555.0570794,Hybrid-wm
6,699.140518,Hybrid-wm
7,587.6812418,Hybrid-wm
8,579.0960842,Hybrid-wm
9,618.0174594,Hybrid-wm
10,597.6718796,Hybrid-wm
11,587.2519267,Hybrid-wm
12,573.0371493,Hybrid-wm
13,548.0627565,Hybrid-wm
14,590.1586222,Hybrid-wm
15,648.1094434,Hybrid-wm
16,582.0515989,Hybrid-wm
17,613.7150634,Hybrid-wm
18,531.5057917,Hybrid-wm
19,608.0655614,Hybrid-wm
20,614.3873021,Hybrid-wm
21,663.9290322,Hybrid-wm
1,613.3101465,Hybrid-lwm
2,686.5961914,Hybrid-lwm
3,537.2687168,Hybrid-lwm
4,595.9318775,Hybrid-lwm
5,568.9760159,Hybrid-lwm
6,696.2122734,Hybrid-lwm
7,590.00216,Hybrid-lwm
8,597.992376,Hybrid-lwm
9,628.8470038,Hybrid-lwm
10,619.1069498,Hybrid-lwm
11,616.4143337,Hybrid-lwm
12,595.0148966,Hybrid-lwm
13,545.1146205,Hybrid-lwm
14,624.0441796,Hybrid-lwm
15,650.9032951,Hybrid-lwm
16,607.5389349,Hybrid-lwm
17,613.130932,Hybrid-lwm
18,569.9557336,Hybrid-lwm
19,612.4060209,Hybrid-lwm
20,615.1424406,Hybrid-lwm
21,660.2929111,Hybrid-lwm
