id,aic,model
12-001,262.4990119,Hybrid-rpe
12-002,376.3167138,Hybrid-rpe
12-003,393.7961728,Hybrid-rpe
12-004,276.2318569,Hybrid-rpe
12-005,337.6451427,Hybrid-rpe
12-006,428.5548152,Hybrid-rpe
12-007,350.463776,Hybrid-rpe
12-008,269.1446725,Hybrid-rpe
12-009,451.3755864,Hybrid-rpe
12-010,302.3543656,Hybrid-rpe
12-011,427.316849,Hybrid-rpe
12-012,239.4472964,Hybrid-rpe
12-013,418.3227483,Hybrid-rpe
12-014,306.0008067,Hybrid-rpe
12-015,443.1233581,Hybrid-rpe
12-016,389.1508029,Hybrid-rpe
12-017,331.4534129,Hybrid-rpe
12-018,445.1821117,Hybrid-rpe
12-019,404.0871885,Hybrid-rpe
12-020,411.9817244,Hybrid-rpe
12-021,265.6837095,Hybrid-rpe
12-022,376.0018063,Hybrid-rpe
12-023,293.5039865,Hybrid-rpe
12-024,435.8336743,Hybrid-rpe
12-025,383.385971,Hybrid-rpe
12-026,341.8894884,Hybrid-rpe
12-027,264.3560584,Hybrid-rpe
12-028,283.4891281,Hybrid-rpe
12-029,225.0523515,Hybrid-rpe
12-031,297.4542148,Hybrid-rpe
12-032,284.5009071,Hybrid-rpe
12-033,319.3992246,Hybrid-rpe
12-034,445.0040708,Hybrid-rpe
12-035,405.9205042,Hybrid-rpe
12-036,321.4629024,Hybrid-rpe
12-037,450.286113,Hybrid-rpe
12-038,409.7934146,Hybrid-rpe
12-039,277.2786626,Hybrid-rpe
12-040,444.4230334,Hybrid-rpe
12-041,229.422696,Hybrid-rpe
12-042,376.7695272,Hybrid-rpe
12-043,292.5638499,Hybrid-rpe
12-044,360.7183868,Hybrid-rpe
12-045,240.2636842,Hybrid-rpe
12-046,425.6787534,Hybrid-rpe
12-047,322.6104714,Hybrid-rpe
12-048,240.3500371,Hybrid-rpe
12-049,387.5445601,Hybrid-rpe
12-050,290.5650282,Hybrid-rpe
12-051,395.0944711,Hybrid-rpe
12-053,380.1203491,Hybrid-rpe
12-054,446.651258,Hybrid-rpe
12-055,406.0910004,Hybrid-rpe
12-057,358.8665419,Hybrid-rpe
12-058,416.7723969,Hybrid-rpe
12-059,340.4699623,Hybrid-rpe
12-060,289.1946012,Hybrid-rpe
12-061,337.2417313,Hybrid-rpe
12-062,427.3153076,Hybrid-rpe
12-063,362.7537815,Hybrid-rpe
12-001,260.1154437,Hybrid-wm
12-002,362.9412362,Hybrid-wm
12-003,387.70279,Hybrid-wm
12-004,242.2138459,Hybrid-wm
12-005,297.4825288,Hybrid-wm
12-006,426.3028435,Hybrid-wm
12-007,332.7242571,Hybrid-wm
12-008,258.2174775,Hybrid-wm
12-009,438.7127879,Hybrid-wm
12-010,299.9028824,Hybrid-wm
12-011,412.6407554,Hybrid-wm
12-012,222.878299,Hybrid-wm
12-013,413.2316943,Hybrid-wm
12-014,302.7258911,Hybrid-wm
12-015,438.2358731,Hybrid-wm
12-016,392.5757431,Hybrid-wm
12-017,327.1176612,Hybrid-wm
12-018,443.3203684,Hybrid-wm
12-019,409.8125331,Hybrid-wm
12-020,411.0370867,Hybrid-wm
12-021,259.556975,Hybrid-wm
12-022,357.0249635,Hybrid-wm
12-023,258.9228016,Hybrid-wm
12-024,428.2052683,Hybrid-wm
12-025,381.1889793,Hybrid-wm
12-026,316.0998279,Hybrid-wm
12-027,243.9903046,Hybrid-wm
12-028,265.1545585,Hybrid-wm
12-029,187.4522522,Hybrid-wm
12-031,292.8026623,Hybrid-wm
12-032,274.3297345,Hybrid-wm
12-033,318.7320682,Hybrid-wm
12-034,444.2644572,Hybrid-wm
12-035,368.0812629,Hybrid-wm
12-036,315.6996134,Hybrid-wm
12-037,452.9517894,Hybrid-wm
12-038,404.1781518,Hybrid-wm
12-039,202.648809,Hybrid-wm
12-040,440.4396302,Hybrid-wm
12-041,208.5391173,Hybrid-wm
12-042,378.6691341,Hybrid-wm
12-043,212.8357974,Hybrid-wm
12-044,306.7926733,Hybrid-wm
12-045,189.704584,Hybrid-wm
12-046,424.7272468,Hybrid-wm
12-047,319.3155501,Hybrid-wm
12-048,228.4105507,Hybrid-wm
12-049,397.6947451,Hybrid-wm
12-050,284.2387967,Hybrid-wm
12-051,384.5972408,Hybrid-wm
12-053,354.9205476,Hybrid-wm
12-054,442.9134145,Hybrid-wm
12-055,399.0897462,Hybrid-wm
12-057,357.2364172,Hybrid-wm
12-058,418.4046395,Hybrid-wm
12-059,295.6506413,Hybrid-wm
12-060,273.3503203,Hybrid-wm
12-061,335.1678729,Hybrid-wm
12-062,416.0293569,Hybrid-wm
12-063,356.776601,Hybrid-wm
12-001,262.6751123,Hybrid-lwm
12-002,376.9067271,Hybrid-lwm
12-003,393.9530894,Hybrid-lwm
12-004,272.194856,Hybrid-lwm
12-005,328.1532737,Hybrid-lwm
12-006,423.6206903,Hybrid-lwm
12-007,351.9276196,Hybrid-lwm
12-008,268.3966468,Hybrid-lwm
12-009,444.0777961,Hybrid-lwm
12-010,301.2217809,Hybrid-lwm
12-011,426.9329861,Hybrid-lwm
12-012,233.0521807,Hybrid-lwm
12-013,417.8605109,Hybrid-lwm
12-014,303.9324612,Hybrid-lwm
12-015,442.5390553,Hybrid-lwm
12-016,389.3441996,Hybrid-lwm
12-017,326.7305355,Hybrid-lwm
12-018,441.2866917,Hybrid-lwm
12-019,407.4415561,Hybrid-lwm
12-020,410.6337587,Hybrid-lwm
12-021,257.5513911,Hybrid-lwm
12-022,377.0331651,Hybrid-lwm
12-023,284.4315349,Hybrid-lwm
12-024,436.5330205,Hybrid-lwm
12-025,378.1662261,Hybrid-lwm
12-026,333.7280797,Hybrid-lwm
12-027,264.4558388,Hybrid-lwm
12-028,268.0876083,Hybrid-lwm
12-029,223.5930311,Hybrid-lwm
12-031,298.0274646,Hybrid-lwm
12-032,283.9282622,Hybrid-lwm
12-033,320.8095992,Hybrid-lwm
12-034,442.0360207,Hybrid-lwm
12-035,389.7565468,Hybrid-lwm
12-036,322.565902,Hybrid-lwm
12-037,450.1398179,Hybrid-lwm
12-038,402.4212844,Hybrid-lwm
12-039,271.2759316,Hybrid-lwm
12-040,436.3543325,Hybrid-lwm
12-041,222.6397613,Hybrid-lwm
12-042,376.6923549,Hybrid-lwm
12-043,283.419081,Hybrid-lwm
12-044,348.890569,Hybrid-lwm
12-045,233.0755112,Hybrid-lwm
12-046,421.1751379,Hybrid-lwm
12-047,319.1363399,Hybrid-lwm
12-048,226.1599694,Hybrid-lwm
12-049,391.5433674,Hybrid-lwm
12-050,286.2632329,Hybrid-lwm
12-051,395.0837272,Hybrid-lwm
12-053,368.2522465,Hybrid-lwm
12-054,441.5177657,Hybrid-lwm
12-055,404.156731,Hybrid-lwm
12-057,358.5671452,Hybrid-lwm
12-058,417.1212568,Hybrid-lwm
