被试编号,数据广度顺背分数,数据广度倒背分数,工作记忆广度,inverse_temperature,reward_learning_rate,eligibility_trace_decay,transition_learning_rate,mixing_weight_low_stable,mixing_weight_high_stable,mixing_weight_low_variable,mixing_weight_high_variable,fai_decay_wm,choice_stickiness,response_stickiness,points_bc
12-001,13,13,26,0.853936679,0.920020514,0.616860024,0.10941447,0.842400822,0.773416841,0.493901994,0.528281017,0.47376906,1.616877361,-0.066874156,0.61898017
12-002,12,5,17,0.528767592,0.875762102,0.587287793,0.785516181,0.731837564,0.427822771,0.689380813,0.786741732,0.555816088,0.430332598,0.086736804,0.62962963
12-003,11,7,18,0.377941512,0.788776446,0.803878702,0.665964427,0.634113459,0.521566921,0.468439066,0.623083125,0.658898616,0.894414054,-0.832776129,0.545321637
12-004,16,9,25,1.611657868,0.087458555,0.632492273,0.818299558,0.726338477,0.881677258,0.286837677,0.225431437,0.285159558,0.151232365,-0.150412489,0.755617978
12-005,12,8,20,1.088221779,0.035191726,0.383153824,0.844801694,0.726334462,0.823057876,0.287330988,0.356649585,0.390572737,0.710433296,-0.091420841,0.635854342
12-006,9,8,17,0.340238779,0.253288614,0.676546587,0.368668176,0.761255055,0.356493491,0.566442612,0.350241671,0.437957888,1.006766095,-0.44921667,0.294034091
12-007,14,7,21,0.826744857,0.125682744,0.225505098,0.772766702,0.826063762,0.805839096,0.40672227,0.44906648,0.697554695,0.810499179,-0.124363248,0.699712644
12-008,7,11,18,0.826677338,0.764832889,0.505279351,0.532016776,0.688395492,0.756776128,0.413726518,0.617078017,0.337546232,0.83902881,-0.735656314,0.601428571
12-009,12,13,25,0.459667138,0.137938393,0.239381766,0.66629962,0.188709507,0.15951038,0.047875283,0.786213645,0.693794864,-0.401950563,-0.101870027,0.247159091
12-010,15,8,23,0.717400017,0.769492202,0.816468106,0.117249121,0.508713471,0.413710889,0.666692689,0.487160195,0.351804997,1.066973052,-0.007134648,0.624645892
